StationID_Master	CanonicalStationID	WaterbodyName	WaterbodyType	FinalLatitude	FinalLongitude	Coastal	CARefSite_2017	GIS_County	GIS_State	GIS_EcoL3Code	GIS_EcoL3Name	COMID_NHD2	COMID_NHD2_Notes	StationComment
SLR15	SLR15	San Luis Rey River	Rivers/Streams	33.22	-117.08	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341771		
SLR16	SLR16	San Luis Rey River	Rivers/Streams	33.26	-117.23	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341717		
SLR17	SLR17	San Luis Rey River	Rivers/Streams	33.32	-117.15	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341587		
SLR18	SLR18	San Luis Rey River	Rivers/Streams	33.34	-117.13	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342481		
SLR20	SLR20	San Luis Rey River	Rivers/Streams	33.28	-116.95	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20343239		
SLR21	SLR21	San Luis Rey River	Rivers/Streams	33.32	-116.99	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20343101		
SLR27	SLR27	San Luis Rey River	Rivers/Streams	33.31	-117.19	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341601		
SLR29	SLR29	San Luis Rey River	Rivers/Streams	33.28	-117.08	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341665		
SLR30	SLR30	San Luis Rey River	Rivers/Streams	33.33	-117.13	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341553		
SLSL4	SLSL4			33.24	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342535		
SLWM1	SLWM1			33.29	-117.08	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341661		
SMAD1	SMAD1			33.51	-117.27	0	0	Riverside	California	85	Southern California/Northern Baja Coast	22545461		
SMAS1	SMAS1			33.45	-116.97	0	0	Riverside	California	85	Southern California/Northern Baja Coast	22549465		
smc.0011	smc.0011			33.88	-117.89	0	0	Orange	California	85	Southern California/Northern Baja Coast	22525749		
smc.0020	smc.0020			34.06	-118.09	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515828		
smc.0026	905PS0026	Santa Ysabel Creek		33.1	-116.86	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20330878		
smc.0032	smc.0032			34.16	-119.05	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17562626		
smc.0040	SMC0040			34.26	-118.48	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515806		
smc.0052	SMC0052			34.19	-118.59	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22514854		
smc.0057	SMC0057			33.52	-117.66	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350529		
SMC00031	SMC00031			34.44	-119.29	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17586626		
SMC00036	SMC00036			34.21	-118.87	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17564924		
SMC00047	SMC00047			34.27	-119.15	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17573691		
SMC00068	SMC00068			34.39	-118.9	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17574729		
SMC00079	SMC00079			34.41	-119.27	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17586810		
SMC00084	SMC00084	Little Sycamore Canyon Random Site 84	Rivers/Streams	34.09	-118.94	0	0	Ventura	California	85	Southern California/Northern Baja Coast	20365103		
SMC00104	SMC00104	Malibu Creek Random Site 104	Rivers/Streams	34.09	-118.73	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	20364957		
SMC00105	SMC00105			33.74	-117.58	0	0	Orange	California	85	Southern California/Northern Baja Coast	22561260		
SMC00117	SMC00117			33.34	-117.33	0	0	San Diego	California	85	Southern California/Northern Baja Coast	22548535		
SMC00143	SMC00143			34.36	-119.31	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17587720		
SMC00153	SMC00153			33.22	-117.34	1	0	San Diego	California	85	Southern California/Northern Baja Coast	20342539		
SMC00191	SMC00191			34.36	-119.05	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17573663		
SMC00198	SMC00198			32.93	-117.13	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331208		
SMC00206	SMC00206			33.54	-117.65	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350529		
SMC00236	SMC00236			34.08	-117.94	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22523203		
SMC0026	905PS0026	Santa Ysabel Creek		33.1	-116.86	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20330878		
SMC00268	SMC00268			34.32	-118.71	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17563660		
SMC00277	SMC00277			33.46	-116.97	0	0	Riverside	California	85	Southern California/Northern Baja Coast	22549477		
SMC00309	SMC00309			33.36	-117.28	0	0	San Diego	California	85	Southern California/Northern Baja Coast	22549115		
SMC00313	SMC00313			33.6	-117.44	0	0	Riverside	California	85	Southern California/Northern Baja Coast	20348383		
SMC00318	SMC00318			33.81	-118.2	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22518274		
SMC00324	SMC00324			34.3	-119.1	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17573681		
SMC00335	402BA0335			34.37	-119.3	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17586838		
SMC00345	SMC00345			33.21	-117.22	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341801		
SMC00375	SMC00375			34.1	-117.15	0	0	San Bernardino	California	85	Southern California/Northern Baja Coast	22555930		
SMC00382	SMC00382			34.04	-117.99	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22523213		
SMC00436	SMC00436			34.14	-118.27	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515824		
SMC00440	SMC00440			34.28	-118.52	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515786		
SMC00446	SMC00446			34.02	-118.04	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22521007		
SMC00457	SMC00457			33.23	-117.09	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342525		
SMC00469	901S00469	San Mateo Creek Middle (Field verified reference)	Rivers/Streams	33.52	-117.4	0	1	Riverside	California	85	Southern California/Northern Baja Coast	20348759		
SMC00473	SMC00473			33.03	-117.15	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20329176		
SMC00479	SMC00479			34.26	-119.24	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17587628		
SMC00531	SMC00531			33.55	-117.77	1	0	Orange	California	85	Southern California/Northern Baja Coast	20348625		
SMC00537	SMC00537	Escondido Creek above El Camino Del Norte	Rivers/Streams	33.04	-117.22	1	0	San Diego	California	85	Southern California/Northern Baja Coast	20342631		
SMC00559	SMC00559			34.13	-119.13	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17562678		
SMC00565	SMC00565			33.41	-117.23	0	0	San Diego	California	85	Southern California/Northern Baja Coast	22548469		
SMC00577	SMC00577			33.07	-116.67	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20329834		
SMC00580	SMC00580			34.26	-119.09	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17562558		
SMC00598	SMC00598			32.92	-116.98	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332684		
SMC00608	SMC00608			34.12	-117.9	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22524713		
SMC00616	SMC00616			34.17	-118.69	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	20364691		
SMC00632	SMC00632			34.14	-118.55	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22514984		
SMC00660	SMC00660			34.26	-118.93	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17563970		
SMC00665	SMC00665	San Luis Rey River		33.27	-117.23	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341709		
SMC00670	SMC00670			33.86	-117.9	0	0	Orange	California	85	Southern California/Northern Baja Coast	22525749		
SMC00684	SMC00684			34.09	-118.02	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515002		
SMC00686	SMC00686			34.03	-117.83	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22523225		
SMC00693	SMC00693			33.29	-117.08	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341661		
SMC00702	SMC00702			33.87	-118	0	0	Orange	California	85	Southern California/Northern Baja Coast	22524965		
SMC00710	SMC00710			32.88	-117.2	1	0	San Diego	California	85	Southern California/Northern Baja Coast	20331322		
SMC00729	SMC00729			33.13	-117.17	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341931		
SMC00748	SMC00748			34.07	-118.07	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515016		
SMC00756	SMC00756			34.14	-118.39	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22514962		
SMC00766	SMC00766			33.65	-117.83	0	0	Orange	California	85	Southern California/Northern Baja Coast	20355480		
SMC00772	SMC00772			34.41	-118.92	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17574807		
SMC00808	SMC00808	Malibu Creek Random Site 808 (Triunfo Canyon 808)	Rivers/Streams	34.11	-118.77	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	20364887		
SMC00830	SMC00830			33.94	-118.16	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22518270		
SMC00831	SMC00831			34.43	-118.83	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17574531		
SMC00836	SMC00836			34.19	-119	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17562598		
SMC00852	SMC00852			34.07	-118.81	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	20365057		
SMC00857	SMC00857	San Luis Rey River		33.24	-117.3	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342513		
SMC00873	SMC00873			33.59	-117.62	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348415		
SMC00899	SMC00899			33.71	-117.78	0	0	Orange	California	85	Southern California/Northern Baja Coast	20355328		
SMC00910	SMC00910			33.51	-117.74	1	0	Orange	California	85	Southern California/Northern Baja Coast	20350539		
SMC00916	SMC00916			34.23	-118.95	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17564016		
SMC00921	SMC00921			33.1	-117.11	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341947		
SMC00926	SMC00926			33.9	-117.88	0	0	Orange	California	85	Southern California/Northern Baja Coast	22527363		
SMC00957	SMC00957			33.96	-117.37	0	0	Riverside	California	85	Southern California/Northern Baja Coast	22560496		
SMC00958	SMC00958			33.82	-117.99	0	0	Orange	California	85	Southern California/Northern Baja Coast	22525759		
SMC00963	SMC00963			33.56	-117.65	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350529		
SMC00964	SMC00964			34.06	-118.96	0	0	Ventura	California	85	Southern California/Northern Baja Coast	20365103		
SMC00997	SMC00997			33.44	-117.61	1	0	Orange	California	85	Southern California/Northern Baja Coast	20350837		
SMC01004	SMC01004			34.14	-118.16	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22515822		
SMC01013	SMC01013			33.48	-117.14	0	0	Riverside	California	85	Southern California/Northern Baja Coast	22549073		
SMC01046	SMC01046			32.79	-117.18	1	0	San Diego	California	85	Southern California/Northern Baja Coast	20331476		
