FEATUREID	AreaSqKM	P_High	P_Mod	P_VeryHigh	P_TotalFire
20333294	0.5229	6.321635706	NA	93.67836834	100.000004
20333296	1.0206	NA	NA	99.99999549	99.99999549
20333298	2.2833	36.12062446	NA	61.64157494	97.7621994
20333300	0.3744	NA	NA	100.0000002	100.0000002
20333302	0.729	NA	NA	99.99999769	99.99999769
20333304	0.6687	NA	NA	81.76230005	81.76230005
20333306	0.0477	NA	NA	100.0000323	100.0000323
20333308	0.8784	NA	NA	89.94808533	89.94808533
20333310	0.1143	NA	NA	100.000007	100.000007
20333312	1.1727	NA	NA	99.99999983	99.99999983
20333314	1.719	NA	NA	99.99999907	99.99999907
20333316	0.5202	NA	NA	100.0000015	100.0000015
20333318	1.0116	NA	NA	99.99999826	99.99999826
20333320	0.81	NA	27.49487954	72.50512148	100.000001
20333322	2.3643	2.852404143	20.95914447	76.18845043	99.99999905
20333324	0.0441	NA	NA	100.0000033	100.0000033
20333326	1.0071	NA	NA	66.45819149	66.45819149
20333328	1.3509	NA	NA	56.00790626	56.00790626
20333330	1.2429	NA	NA	97.36890958	97.36890958
20333332	1.0728	NA	NA	64.37112113	64.37112113
20333334	0.5877	NA	NA	99.99999877	99.99999877
20333336	0.8748	NA	NA	88.18265744	88.18265744
20333338	3.1734	NA	NA	98.07843828	98.07843828
20333340	1.1376	NA	NA	99.99999935	99.99999935
20333342	0.9846	NA	NA	85.31070967	85.31070967
20333344	0.9702	NA	NA	61.17747378	61.17747378
20333346	0.0189	NA	NA	100.0000555	100.0000555
20333348	0.234	NA	NA	100.0000036	100.0000036
20333350	0.0729	NA	NA	100.0000166	100.0000166
20333352	3.0699	NA	6.913493979	93.08650681	100.0000008
20333354	0.0108	NA	NA	99.99991923	99.99991923
20333356	2.0196	NA	20.53433379	79.46566566	99.99999945
20333358	0.828	NA	NA	100.0000021	100.0000021
20333360	0.3798	NA	NA	100.0000073	100.0000073
20333362	0.8739	NA	NA	100	100
20333364	0.0675	NA	99.99997333	NA	99.99997333
20333366	0.4041	NA	96.7244901	3.275509692	99.9999998
20333368	0.5256	NA	98.46923789	1.530760253	99.99999814
20333370	1.7892	NA	NA	97.1560637	97.1560637
20333372	1.6065	NA	7.508749647	92.49124788	99.99999752
20333374	0.0432	NA	100.0000024	NA	100.0000024
20333376	0.8973	NA	NA	100.000004	100.000004
20333378	0.0927	NA	NA	100.0000221	100.0000221
20333380	1.4175	NA	NA	16.79843607	16.79843607
20333382	1.593	NA	0.23285543	99.76714367	99.9999991
20333384	0.2916	NA	NA	99.99999686	99.99999686
20333386	0.5139	NA	45.09871173	54.90128582	99.99999755
20333388	1.5822	NA	NA	3.991338014	3.991338014
20333390	1.3878	NA	NA	100.0000004	100.0000004
20333392	2.6775	NA	NA	100.0000009	100.0000009
20333394	1.0134	NA	NA	4.709950581	4.709950581
20333396	0.4203	NA	NA	99.9999997	99.9999997
20333398	1.6479	6.243056184	NA	77.71171083	83.95476701
20333400	0.7083	17.10862348	NA	75.02704528	92.13566876
20333402	1.1529	NA	NA	36.65717311	36.65717311
20333404	0.5256	NA	99.99999975	NA	99.99999975
20333406	1.0494	NA	42.84849341	57.15150416	99.99999757
20333408	1.6812	NA	47.58072999	52.4192683	99.9999983
20333410	1.2123	NA	NA	72.44300648	72.44300648
20333412	1.0827	15.09726586	NA	35.32971436	50.42698022
20333414	1.0242	0.163206871	81.70314735	18.13364711	100.0000013
20333416	0.7335	NA	87.794984	12.20501828	100.0000023
20333418	0.2736	99.90741614	NA	0.092584368	100.0000005
20333420	0.6174	NA	NA	11.38417173	11.38417173
20333422	0.6723	NA	NA	43.76578596	43.76578596
20333424	2.4219	NA	NA	74.8927865	74.8927865
20333426	2.4354	NA	NA	80.63289687	80.63289687
20333428	0.0126	99.99997828	NA	NA	99.99997828
20333430	0.0306	75.37148413	NA	24.62849576	99.99997988
20333432	1.3086	NA	29.17285786	70.82713826	99.99999612
20333434	0.1917	49.4683615	NA	50.53165776	100.0000193
20333436	0.1521	NA	NA	99.9999945	99.9999945
20333438	0.6336	NA	NA	31.97248294	31.97248294
20333440	1.548	1.164774517	9.38357609	78.53810024	89.08645084
20333442	1.0224	0.202890304	NA	49.32415625	49.52704655
20333444	0.1053	47.60355979	35.12476525	17.27166258	99.99998762
20333446	0.0378	7.524007762	NA	92.47596412	99.99997188
20333448	2.4651	NA	NA	24.53308047	24.53308047
20333450	1.143	NA	NA	38.88262146	38.88262146
20333452	3.7494	31.1168027	NA	66.31579878	97.43260148
20333454	0.1107	NA	NA	93.92399699	93.92399699
20333456	0.945	NA	NA	100.0000009	100.0000009
20333458	2.0097	NA	19.7218372	80.27816228	99.99999948
20333460	4.5387	NA	3.720699974	94.23807959	97.95877957
20333462	0.6291	NA	23.14111306	76.85888558	99.99999863
20333464	1.0971	NA	8.106491227	40.76946773	48.87595895
20333466	1.3608	NA	NA	17.05537834	17.05537834
20333468	0.4977	11.80541326	36.00198017	52.19260598	99.99999941
