"StationID_Master"	"ChemSampleID"	"SampDate"	"SampleType"	"matrixname"	"StdParamName"	"ResultText"	"ResultValue"	"ResultHalfMDL"	"ConvertTo"	"COMID_NHD2"	"clust"
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.594999885	0.594999885	0.594999885	"MaxMonthQ"	22563104	1
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	15	15	15	"HighNum"	22563104	1
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-181	-181	-181	"NoDisturb"	22563104	1
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-20	-20	-20	"HighDur"	22563104	1
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	3.585987069	3.585987069	3.585987069	"Q99"	22563104	1
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	6.557565952	6.557565952	6.557565952	"Q99"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.949974129	0.949974129	0.949974129	"RBI"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-0.5	-0.5	-0.5	"HighDur"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	1.564761397	1.564761397	1.564761397	"MaxMonthQ"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	16.972	16.972	16.972	"QmaxIDR"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-86	-86	-86	"NoDisturb"	948070393	5
"SMC07126"	"SMC07126_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	15	15	15	"HighNum"	948070393	5
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	1.110234905	1.110234905	1.110234905	"MaxMonthQ"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	16	16	16	"HighNum"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	9.67488687	9.67488687	9.67488687	"QmaxIDR"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.175893529	1.175893529	1.175893529	"RBI"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-239.5	-239.5	-239.5	"NoDisturb"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-29.5	-29.5	-29.5	"HighDur"	17563908	1
"SMC07828"	"SMC07828_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	3.957877726	3.957877726	3.957877726	"Q99"	17563908	1
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.133114419	0.133114419	0.133114419	"MaxMonthQ"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-5	-5	-5	"HighDur"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-117	-117	-117	"NoDisturb"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.574644	0.574644	0.574644	"QmaxIDR"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	1.206088103	1.206088103	1.206088103	"Q99"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.000993693	1.000993693	1.000993693	"RBI"	22560942	5
"SMC08094"	"SMC08094_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	9	9	9	"HighNum"	22560942	5
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	1.000229332	1.000229332	1.000229332	"MaxMonthQ"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	3.716191	3.716191	3.716191	"QmaxIDR"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-19	-19	-19	"HighDur"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.10562098	0.10562098	0.10562098	"RBI"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-208.5	-208.5	-208.5	"NoDisturb"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	5.097860023	5.097860023	5.097860023	"Q99"	20331414	1
"SMC08150"	"SMC08150_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	2	2	2	"HighNum"	20331414	1
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	-0.00033418	-0.00033418	-0.00033418	"Q99"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-56	-56	-56	"NoDisturb"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.211874476	0.211874476	0.211874476	"RBI"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.001049389	0.001049389	0.001049389	"MaxMonthQ"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.001087	0.001087	0.001087	"QmaxIDR"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	22545393	3
"SMC08157"	"SMC08157_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	4.5	4.5	4.5	"HighNum"	22545393	3
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.147915696	0.147915696	0.147915696	"MaxMonthQ"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0	0	0	"RBI"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	8	8	8	"HighDur"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	2.792099	2.792099	2.792099	"QmaxIDR"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0	0	0	"Q99"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	948070372	5
"SMC08335"	"SMC08335_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	0	0	0	"NoDisturb"	948070372	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.126156258	0.126156258	0.126156258	"Q99"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-65.5	-65.5	-65.5	"NoDisturb"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	7.5	7.5	7.5	"HighNum"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.097208889	0.097208889	0.097208889	"MaxMonthQ"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.570520779	0.570520779	0.570520779	"RBI"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-0.5	-0.5	-0.5	"HighDur"	17574361	5
"SMC08540"	"SMC08540_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.0162	0.0162	0.0162	"QmaxIDR"	17574361	5
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.009011	0.009011	0.009011	"QmaxIDR"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0.414303349	0.414303349	0.414303349	"Q99"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.001764247	0.001764247	0.001764247	"MaxMonthQ"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.00151944	0.00151944	0.00151944	"RBI"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-12.5	-12.5	-12.5	"NoDisturb"	17585796	2
"SMC08655"	"SMC08655_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	17585796	2
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	6.22652	6.22652	6.22652	"QmaxIDR"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	1.292706017	1.292706017	1.292706017	"RBI"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-218	-218	-218	"NoDisturb"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-21.5	-21.5	-21.5	"HighDur"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.922188086	0.922188086	0.922188086	"MaxMonthQ"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	5.291393609	5.291393609	5.291393609	"Q99"	17563908	1
"SMC08660"	"SMC08660_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	19	19	19	"HighNum"	17563908	1
"SMC08766"	"SMC08766_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.378799025	0.378799025	0.378799025	"RBI"	22525157	5
"SMC08766"	"SMC08766_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-8.5	-8.5	-8.5	"HighDur"	22525157	5
"SMC08766"	"SMC08766_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	-165.5	-165.5	-165.5	"NoDisturb"	22525157	5
"SMC08766"	"SMC08766_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	57.6662	57.6662	57.6662	"QmaxIDR"	22525157	5
"SMC08766"	"SMC08766_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	9.37562976	9.37562976	9.37562976	"MaxMonthQ"	22525157	5
