ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Total	"Permethrin, Total"	ug/L	Permethrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc
Total	"Permethrin, trans-"	ng/g dw	Permethrin_trans_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Permethrin, trans-"	ug/L	Permethrin_trans_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Pyrethrin-1	ng/g dw	Pyrethrin_1_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Pyrethrin-2	ng/g dw	Pyrethrin_2_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Pyrethrin-1	ug/L	Pyrethrin1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Pyrethrin-2	ug/L	Pyrethrin2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc
<0.0039 mm	Clay	%	Clay_LT0_0039mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
<0.005 mm	Clay	%	Clay_LT0_005mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
4.75 to <75 mm	Gravel	%	Gravel_4_75_LT75mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Dec
Total	Moisture	%	MoistureTotal_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	0	
0.0625 to <2.0 mm	Sand	%	Sand_0_0625_LT2mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
Coarse 2.0 to <4.75 mm	Sand	%	SandCoarse_2_LT4_75mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
Fine 0.075 to <0.425 mm	Sand	%	SandFine_0_075_LT0_425mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
Medium 0.425 to <2.0 mm	Sand	%	SandMed_0_425_LT2mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
0.0039 to <0.0625 mm	Silt	%	Silt_0_0039_LT0_0625mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
0.005 to <0.075 mm	Silt	%	Silt_0_005_LT0_075mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc
Total	Terphenyl-d14(Surrogate)	ug/L	Terphenyl_d14_surrogate_ug_L	15	Surrogate	1	0	0	NA	NA	NA	NA	0	
Total	Anatoxin-A	ug/L	Anatoxin_A_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Desmethyl-LR	ug/L	Desmethyl_LR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Desmethyl-RR	ug/L	Desmethyl_RR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Domoic Acid	ug/L	Domoic_Acid_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-LA	ug/L	Microcystin_LA_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-LF	ug/L	Microcystin_LF_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-LR	ug/L	Microcystin_LR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-LW	ug/L	Microcystin_LW_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-LY	ug/L	Microcystin_LY_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-RR	ug/L	Microcystin_RR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Microcystin-YR	ug/L	Microcystin_YR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Nodularin	ug/L	Nodularin_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Total	Okadaic Acid	ug/L	Okadaic_Acid_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Particulate	"Microcystins, Total"	ug/L	TotalMicrocystins_particulate_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Particulate	"Microcystins, Total"	ug/m2	TotalMicrocystins_particulate_ug_m2	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Total	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_uf_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Total	Acid Neutralizing Capacity	ueq/L	ANC_ueq_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
None	"Color, True"	CU	ColorTrue_CU	17	Water quality	0	0	0	NA	NA	NA	NA	0	
Dissolved	"Color, True"	CU	ColorTrue_f_CU	17	Water quality	0	0	0	NA	NA	NA	NA	0	
Dissolved	Hardness as CaCO3	mg/L	Hardness_CaCO3_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Total	Hardness as CaCO3	mg/L	Hardness_CaCO3_uf_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
None	pH	none	pH_SU	17	Water quality	0	0	0	NA	NA	NA	NA	1	Dec
Total	SpecificConductivity	uS/cm	SpecificConductivity_uS_cm	17	Water quality	1	0	1	1	2	5	6	1	Inc
Particulate	Suspended Sediment Concentration	mg/L	SuspendedSediment_particulate_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Total Dissolved Solids	mg/L	TDS_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Particulate	Total Suspended Solids	mg/L	TSS_particulate_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
Total	Turbidity	NTU	Turbidity_NTU	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc
