ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Total	Atraton	ug/L	Atraton_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dacthal	ng/g dw	Dacthal_tot_ng_g_dw	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dacthal	ug/L	Dacthal_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Calcium	mg/L	Calcium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Not Recorded	Fluoride	mg/L	Fluoride_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Potassium	mg/L	Potassium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Total	Potassium	mg/L	Potassium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Sodium	mg/L	Sodium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Total	Sodium	mg/L	Sodium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Sulfate	mg/L	Sulfate_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Total	Calcium	mg/L	Calcium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Chloride	mg/L	Chloride_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Aluminum	ug/L	Aluminum_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Antimony	ug/L	Antimony_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Antimony	ug/L	Antimony_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Aluminum	mg/kg dw	Aluminum_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Aluminum	ug/L	Aluminum_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Cobalt	ug/L	Cobalt_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Copper	ug/L	Copper_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Copper	mg/kg dw	Copper_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Copper	ug/L	Copper_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Iron	ug/L	Iron_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Iron	ug/L	Iron_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Lead	ug/L	Lead_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Lead	mg/kg dw	Lead_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Lead	ug/L	Lead_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Magnesium	mg/L	Magnesium_f_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Magnesium	mg/L	Magnesium_uf_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Manganese	ug/L	Manganese_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
